Date,Open,Close,Volume,High,Low
1/3/2012,14.63,14.69,10794957,14.73,14.61
1/4/2012,14.65,14.77,9294444,14.81,14.62
1/5/2012,14.82,14.93,9688115,14.95,14.74
1/6/2012,14.99,15.09,11370916,15.1,14.97
1/9/2012,15.2,15.06,14072256,15.28,15.05
1/10/2012,15.21,15.12,9225966,15.21,15.05
1/11/2012,15.09,15.09,7685437,15.1,14.98
1/12/2012,15.09,15.05,7597273,15.1,14.96
1/13/2012,14.98,14.99,8077107,15.02,14.95
1/17/2012,15.15,15.17,8674865,15.21,15.11
1/18/2012,15.25,15.33,9885394,15.34,15.23
1/19/2012,15.36,15.28,9347779,15.41,15.23
1/20/2012,15.27,15.01,14784607,15.27,14.99
1/23/2012,15.11,15.26,10930778,15.3,15.08
1/24/2012,15.18,15.01,19558472,15.18,14.98
1/25/2012,16.22,15.95,34223692,16.23,15.85
1/26/2012,16.02,15.88,11579673,16.03,15.83
1/27/2012,15.87,15.97,10710233,16.02,15.85
1/30/2012,15.92,16.18,13547439,16.21,15.91
1/31/2012,16.28,16.3,13996855,16.37,16.18
2/1/2012,16.37,16.29,9644366,16.39,16.27
2/2/2012,16.29,16.25,6671221,16.33,16.21
2/3/2012,16.33,16.42,10245287,16.43,16.27
2/6/2012,16.37,16.57,8917228,16.61,16.36
2/7/2012,16.62,16.74,11293609,16.78,16.59
2/8/2012,16.81,17.02,14567040,17.03,16.77
2/9/2012,17.18,17.61,31579086,17.74,17.16
2/10/2012,17.54,17.62,22546424,17.77,17.45
2/13/2012,17.85,17.95,18471658,17.99,17.75
2/14/2012,18.02,18.2,16497573,18.2,17.93
2/15/2012,18.37,17.77,53789720,18.8,17.75
2/16/2012,17.55,17.94,33733916,18.03,17.38
2/17/2012,17.98,17.93,19135312,18.13,17.87
2/21/2012,18.11,18.39,21628056,18.39,18
2/22/2012,18.32,18.32,17260544,18.41,18.18
2/23/2012,18.4,18.44,20286616,18.49,18.2
2/24/2012,18.56,18.66,14831415,18.68,18.52
2/27/2012,18.62,18.78,19556472,18.88,18.44
2/28/2012,18.86,19.12,21442354,19.12,18.78
2/29/2012,19.34,19.37,34000056,19.56,19.13
3/1/2012,19.58,19.45,24401884,19.58,19.24
3/2/2012,19.45,19.47,15418227,19.53,19.38
3/5/2012,19.49,19.04,28897168,19.55,18.79
3/6/2012,18.7,18.94,28937092,19.06,18.44
3/7/2012,19.17,18.95,28518508,19.21,18.69
3/8/2012,19.1,19.36,18444388,19.39,19
3/9/2012,19.44,19.47,14960676,19.56,19.4
3/12/2012,19.61,19.71,14545717,19.71,19.54
3/13/2012,19.91,20.29,24673236,20.29,19.85
3/14/2012,20.65,21.06,50672820,21.24,20.55
3/15/2012,21.43,20.91,41416824,21.43,20.66
3/16/2012,20.88,20.91,29481696,21.04,20.64
3/19/2012,21.38,21.47,32186970,21.49,21.04
3/20/2012,21.4,21.64,29166720,21.68,20.79
3/21/2012,21.53,21.52,23001482,21.77,21.48
3/22/2012,21.36,21.41,22290414,21.59,21.27
3/23/2012,21.45,21.29,15374545,21.49,21.23
3/26/2012,21.43,21.68,21276316,21.68,21.26
3/27/2012,21.66,21.95,21683164,22.01,21.65
3/28/2012,22.09,22.06,23409268,22.19,21.8
3/29/2012,21.88,21.78,21722776,22.02,21.69
3/30/2012,21.75,21.41,26108484,21.81,21.36
4/2/2012,21.5,22.09,21369494,22.1,21.44
4/3/2012,22.4,22.48,29805480,22.58,22.23
4/4/2012,22.31,22.3,20463584,22.35,22.04
4/5/2012,22.4,22.63,22856394,22.67,22.26
4/9/2012,22.36,22.72,21340578,22.85,22.33
4/10/2012,22.86,22.44,31774636,23,22.36
4/11/2012,22.71,22.36,24878968,22.75,22.26
4/12/2012,22.33,22.24,21940308,22.55,22.16
4/13/2012,22.29,21.62,30701580,22.31,21.55
4/16/2012,21.79,20.72,37528008,21.8,20.65
4/17/2012,20.68,21.78,36624496,21.79,20.43
4/18/2012,21.92,21.73,34090352,22.15,21.53
4/19/2012,21.43,20.98,29811196,21.6,20.88
4/20/2012,21.14,20.46,36820544,21.24,20.37
4/23/2012,20.39,20.42,34518496,20.6,19.88
4/24/2012,20.1,20.01,38442832,20.27,19.82
4/25/2012,22,21.79,32346810,22.07,21.64
4/26/2012,21.95,21.7,19145182,21.95,21.5
4/27/2012,21.61,21.54,14527500,21.65,21.45
4/30/2012,21.36,20.86,18076434,21.37,20.82
5/1/2012,20.89,20.79,21821360,21.31,20.76
5/2/2012,20.73,20.93,15272288,20.98,20.67
5/3/2012,21.1,20.78,13948151,21.12,20.73
5/4/2012,20.61,20.19,18928204,20.66,20.18
5/7/2012,20.05,20.34,16439031,20.46,20.04
5/8/2012,20.36,20.29,17758960,20.41,19.95
5/9/2012,20.13,20.33,17167988,20.5,20.03
5/10/2012,20.54,20.38,11902536,20.57,20.3
5/11/2012,20.18,20.24,14269476,20.52,20.16
5/14/2012,20.1,19.94,12593729,20.27,19.91
5/15/2012,20.05,19.76,17010954,20.11,19.71
5/16/2012,19.79,19.5,20031982,19.89,19.32
5/17/2012,19.48,18.93,25614960,19.55,18.93
5/18/2012,19.07,18.94,26153208,19.41,18.65
5/21/2012,19.1,20.05,22538970,20.05,19.07
5/22/2012,20.35,19.89,24813822,20.5,19.74
5/23/2012,19.9,20.38,20889196,20.46,19.76
5/24/2012,20.57,20.19,17721358,20.59,20.04
5/25/2012,20.16,20.08,11730936,20.21,19.95
5/29/2012,20.39,20.44,13589478,20.5,20.19
5/30/2012,20.33,20.68,18907888,20.71,20.23
5/31/2012,20.75,20.63,17568228,20.77,20.41
6/1/2012,20.32,20.04,18606442,20.45,20.02
6/4/2012,20.05,20.15,19892448,20.27,19.59
6/5/2012,20.03,20.1,13864768,20.23,19.94
6/6/2012,20.28,20.41,14337466,20.49,20.2
6/7/2012,20.62,20.42,13570452,20.62,20.38
6/8/2012,20.4,20.73,12410410,20.74,20.32
6/11/2012,20.99,20.4,21116528,21.02,20.38
6/12/2012,20.53,20.58,15556423,20.59,20.24
6/13/2012,20.52,20.43,10491890,20.66,20.37
6/14/2012,20.4,20.41,12351469,20.48,20.26
6/15/2012,20.39,20.5,11973340,20.52,20.34
6/18/2012,20.39,20.92,15728970,21,20.37
6/19/2012,20.84,20.98,12907276,21.07,20.83
6/20/2012,21,20.92,12827092,21.04,20.74
6/21/2012,20.92,20.63,11660894,21.01,20.62
6/22/2012,20.68,20.79,10169473,20.79,20.55
6/25/2012,20.62,20.38,10869808,20.71,20.37
6/26/2012,20.4,20.43,9883929,20.52,20.26
6/27/2012,20.54,20.52,7252110,20.6,20.43
6/28/2012,20.42,20.32,10108649,20.5,20.2
6/29/2012,20.64,20.86,15051433,20.86,20.51
7/2/2012,20.88,21.16,14288968,21.2,20.84
7/3/2012,21.25,21.41,8632595,21.43,21.21
7/5/2012,21.44,21.78,17299304,21.94,21.42
7/6/2012,21.69,21.64,14965308,21.73,21.49
7/9/2012,21.62,21.92,13550032,21.93,21.58
7/10/2012,22.07,21.72,18284200,22.14,21.62
7/11/2012,21.65,21.59,16761338,21.7,21.33
7/12/2012,21.44,21.39,15285309,21.55,21.17
7/13/2012,21.54,21.61,11129207,21.69,21.43
