ID;SUBJECT;DESCRIPTION;UPDATEDBY;UPDATEDON;CREATEDBY;CREATEDON;FILENAME;ITEMID;FILETYPE;ISPOSITIVE;ISINTERNAL;ISDELETE;DELETEDBY;DELETEDON;CATEGORY;TYPE;ISUPLOADMEDIA;EMAIL;NEWSDATE;MODIFIEDON;MODIFIEDBY
5;Sinar Mas Land Raih Penghargaan FIABCI Indonesia-REI Excellence Awards 2022;"BSD City, 14 Desember 2022 – Berkomitmen untuk selalu memberikan produk dan pelayanan yang baik bagi masyatakat, Sinar Mas Land berhasil mendapatkan penghargaan bergengsi dalam Ajang FIABCI Indonesia-REI Excellence Awards 2022, diselenggarakan pada Senin (12/12) di The Dome Spark Mall Senayan. Pada malam penganugerahan tersebut, Sinar Mas Land memenangkan Outstanding Achievement dalam Kategori Residential Mid Rise untuk proyek Marigold di NavaPark BSD City dan Kategori Sustainable Development untuk proyek township BSD City. Selanjutnya, proyek Tabebuya di BSD City juga berhasil meraih Gold Winner dalam Kategori Residential Low Rise, Silver Winner dalam Kategori Environment, dan Silver Winner dalam Kategori Affordable Housing.

Baca Juga: Sinar Mas Land Raih Lima Penghargaan PropertyGuru Asia 2022

Indonesia-REI Excellence Awards 2022 diselenggarakan oleh FIABCI yang merupakan ajang apresiasi bagi para pengembang properti dan ahli real estat terbaik untuk menghargai keunggulannya secara keseluruhan dan bukan hanya dilihat dari segi estetika, fungsionalitas atau ukurannya saja. Acara tersebut diikuti 12 pengembang terkemuka di Indonesia yang berpartisipasi dalam 16 kategori. Ajang penghargaan ini disebut paling bergengsi bagi para pengembang, karena pemenangnya akan dikompetisikan ke dalam ajang penghargaan berskala internasional yakni FIABCI World Prix d’Excellence Awards pada 2023 mendatang di Miami, Amerika Serikat.

Managing Director President Office Sinar Mas Land – Dony Martadisata mengatakan, “Terima kasih atas apresiasi yang telah diberikan oleh FIABCI Indonesia-REI Excellence Awards 2022 kepada Sinar Mas Land. Prestasi ini berhasil kami raih berkat dukungan dan kepercayaan dari seluruh stakeholder, loyal customers, hingga masyarakat luas. Sinar Mas Land berupaya untuk terus menghadirkan produk properti dan maha karya yang inovatif, kreatif serta berkualitas yang dipadukan dengan aspek sustainability dan teknologi sesuai dengan kebutuhan pasar properti saat ini.”

BSD City, 14 Desember 2022 – Berkomitmen untuk selalu memberikan produk dan pelayanan yang baik bagi masyatakat, Sinar Mas Land berhasil mendapatkan penghargaan bergengsi dalam Ajang FIABCI Indonesia-REI Excellence Awards 2022, diselenggarakan pada Senin (12/12) di The Dome Spark Mall Senayan. Pada malam penganugerahan tersebut, Sinar Mas Land memenangkan Outstanding Achievement dalam Kategori Residential Mid Rise untuk proyek Marigold di NavaPark BSD City dan Kategori Sustainable Development untuk proyek township BSD City. Selanjutnya, proyek Tabebuya di BSD City juga berhasil meraih Gold Winner dalam Kategori Residential Low Rise, Silver Winner dalam Kategori Environment, dan Silver Winner dalam Kategori Affordable Housing.

Baca Juga: Sinar Mas Land Raih Lima Penghargaan PropertyGuru Asia 2022

Indonesia-REI Excellence Awards 2022 diselenggarakan oleh FIABCI yang merupakan ajang apresiasi bagi para pengembang properti dan ahli real estat terbaik untuk menghargai keunggulannya secara keseluruhan dan bukan hanya dilihat dari segi estetika, fungsionalitas atau ukurannya saja. Acara tersebut diikuti 12 pengembang terkemuka di Indonesia yang berpartisipasi dalam 16 kategori. Ajang penghargaan ini disebut paling bergengsi bagi para pengembang, karena pemenangnya akan dikompetisikan ke dalam ajang penghargaan berskala internasional yakni FIABCI World Prix d’Excellence Awards pada 2023 mendatang di Miami, Amerika Serikat.

Managing Director President Office Sinar Mas Land – Dony Martadisata mengatakan, “Terima kasih atas apresiasi yang telah diberikan oleh FIABCI Indonesia-REI Excellence Awards 2022 kepada Sinar Mas Land. Prestasi ini berhasil kami raih berkat dukungan dan kepercayaan dari seluruh stakeholder, loyal customers, hingga masyarakat luas. Sinar Mas Land berupaya untuk terus menghadirkan produk properti dan maha karya yang inovatif, kreatif serta berkualitas yang dipadukan dengan aspek sustainability dan teknologi sesuai dengan kebutuhan pasar properti saat ini.”";NULL;1900-01-01 00:00:00.000000;8170;2023-02-08 09:28:11.000000;Foto-2-FIABCI-Indonesia-REI-Excellent-Awards-2022-1024x768.jpeg;1321004;;1;1;1;8142;2023-02-09 08:46:04.000000;NULL;News;0;;1900-01-01 00:00:00.000000;2023-02-08 09:28:11.000000;8170
7;ddsgsd;stewtew bsgdsgs dsgdsgds;NULL;1900-01-01 00:00:00.000000;8176;2023-02-08 09:48:22.000000;Foto-3-House-of-TikTokers-1024x683.jpeg;1321073;;1;1;1;8142;2023-02-09 09:46:58.000000;NULL;News;0;;1900-01-01 00:00:00.000000;2023-02-08 09:48:22.000000;8176
9;Healthy Living with AERIUM Bareng Artis dan Atlet Basket;"Jakarta, 26 November 2022 – Sinar Mas Land melalui apartemen Aerium mengadakan acara yang menunjang gaya hidup sehat. Kali ini perusahaan berkolaborasi dengan Aras Gading Muda, salah satu klab basket ternama di Jakarta, untuk melaksanakan program bertema “Healthy Living with AERIUM” pada Sabtu (26/11). Acara ini turut dihadiri oleh Yani Wahyu Purwoko (Wali Kota Jakarta Barat), Danny Kosasih (Ketua Umum PERBASI) dan tim basket artis Indonesia yaitu Happy Ballers beranggotakan Maria Selena, Mario Lawalata, Augie Fantinus, Rico Ceper, dan Richard Insane.

Baca Juga : Sinar Mas Land Selenggarakan Doggo Fun Run with Aerium 2022

Division Head Commercial National Sinar Mas Land – Christine Natasha Tanjungan menyampaikan, “Apartemen Aerium dikembangkan dengan berbagai fasilitas premium, namun lebih dari itu, kami juga fokus mendukung penghuni serta masyarakat sekitar untuk melakukan kegiatan yang bermanfaat untuk kesehatan. Setelah berhasil mengadakan acara Doggo Fun Run pada 23 Oktober lalu, kami kembali mengadakan acara bertema Healthy Living with Aerium untuk mengedukasi masyarakat luas tentang pentingnya menjalankan gaya hidup sehat melalui event Fun Basketball Day bersama Aras Gading Muda, sekaligus turut merayakan Anniversary ke-16 Klab Aras Gading Muda.”";NULL;1900-01-01 00:00:00.000000;8194;2023-02-10 02:19:32.000000;5c17f412-3015-47e2-8bfa-b65d8fecfdc9.jfif;1333062;;1;0;1;8194;2023-02-10 02:20:44.000000;NULL;News;0;;1900-01-01 00:00:00.000000;2023-02-10 02:19:32.000000;8194
12;coba after;"fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs fsdf sdfds fjgj reyer sfs ";NULL;1900-01-01 00:00:00.000000;8170;2023-02-14 02:34:37.000000;Foto-1-LLV-Berikan-Pendanaan-Startup-ke-DCT-Agency-1024x768.jpeg;1343173;;1;1;1;8186;2023-02-14 02:36:54.000000;NULL;News;0;;1900-01-01 00:00:00.000000;2023-02-14 02:34:37.000000;8170
1083;Batam Punya Kawasan Ekosistem Digital Lengkap, Saingi Silicon Valley?;"PT Sinar Mas Land Tbk bekerja sama dengan PT Citra Mas Group mengembangkan kawasan ekosistem digital di Batam. Kawasan yang disebut Nongsa Digital Town alias Nongsa D'Town ini akan berlokasi di Kawasan Ekonomi Khusus Nongsa, Batam, Kepulauan Riau.
Kerja sama kedua perusahaan ini dilakukan dalam bentuk Joint Venture yang kemudian melahirkan perusahaan bernama PT Citra Mas Global. Senior Vice President of Golf Commercial National Sinar Mas Land Steven Japari mengatakan, untuk tahap awal, keduanya akan mengembangkan Nongsa D'Town di atas lahan seluas 10 hektare.

""Kami masing-masing menggarap 5 hektare. Nanti akan dikembangkan hingga 60 hektare, kita chip in lagi 25 hektare 25 hektare,"" ujar Steven pada acara Media Gathering Nongsa Digital Park, di Nongsa, Batam, Kepulauan Riau, Kamis (10/8/2023).

""Kita sekarang lagi dalam tahap pematangan lahan. Kita juga sedang mematangkan konsepnya. Kalau tidak ada halangan di akhir tahun ini kita akan presale,"" ujar Steven.

""Kita untuk fase 1 2024 akhir tahun sudah selesai,"" ujarnya.

Sementara itu, Executive Director Citramas Group, Marco Bardelli mengatakan, D'Town ini akan menjadi sarana yang lengkap untuk mendukung ekosistem digital di KEK Nongsa. Dia menyambut baik kerja sama dengan Sinar Mas sebagai pengembang kawasan properti yang berpengalaman.

""Sinar Mas punya pengalaman yang lebih banyak dalam hal ini. Kita akan membangun The Hive, untuk mendukung talenta muda yang ada di sini. Dan mereka akan senang berada di sini. Kita tidak akan menjadi Silicon Valley, tapi ita akan menjadi sesuati yang berbeda dan terbaik bagi semua,"" ujar Marco.

Selain itu, dia mengatakan, proyek ini juga sudah mendapatkan dukungan dari pemerintah Indonesia juga Singapura. Pasalnya, KEK Nongsa ini akan menjadi jembatan bagi perusahaan-perusahaan digital yang juga berasal dari Singapura untuk berinvestasi di Indonesia.

""Kita juga mendapatkan dukungan dari pemerintah Singapura dan Indonesia,"" ujarnya.

Nongsa D'Town, nantinya akan menjadi sarana dan infrastruktur penunjang Nongsa Digital Park yang saat ini sudah beroperasi. Nongsa Digital Park adalah kawasan digital yang sudah diisi perusahaan-perusahaan digital berskala internasional seperti IBM, Apple Development Academy, Amazon Web Services dan perusahaan-perusahaan digital lainnya. Selain itu, ada juga kampus digital seperti Purwadika yang melahirkan talenta-talenta lokal yang melek digital.
";NULL;1900-01-01 00:00:00.000000;8171;2023-08-11 02:35:13.000000;kek-nongsasinar-mas-land_169.png;1976795;;0;0;1;8142;2023-09-15 09:09:34.000000;NULL;News;1;muhammad.nursamsi@sinarmasland.com;1900-01-01 00:00:00.000000;2023-08-11 02:35:13.000000;8171
1299;Beasiswa Teknologi Digital untuk 60 Pemuda Tangerang dari Sinarmas Land;"erdasarkan Studi Google Temasek, Bain & Company (2022), ekonomi digital Indonesia mencapai 77 miliar dollar AS atau tumbuh 22 persen dari 2021. Indonesia bahkan berhasil menjadi pemain utama dalam ekonomi digital ASEAN, karena sekitar 40 persen dari nilai total transaksi ekonomi digital ASEAN berasal dari Indonesia. Untuk dapat memanfaatkan pertumbuhan ekonomi digital yang tinggi ini, Indonesia membutuhkan talenta-talenta digital yang andal dan terliterasi digital.

Artikel ini telah tayang di Kompas.com dengan judul ""Beasiswa Teknologi Digital untuk 60 Pemuda Tangerang dari Sinarmas Land"", Klik untuk baca: https://lestari.kompas.com/read/2023/09/09/120000986/beasiswa-teknologi-digital-untuk-60-pemuda-tangerang-dari-sinarmas-land?page=all. 
Penulis : Hilda B Alexander
Editor : Hilda B Alexander

Kompascom+ baca berita tanpa iklan: https://kmp.im/plus6
Download aplikasi: https://kmp.im/app6";NULL;1900-01-01 00:00:00.000000;8171;2023-09-12 09:50:23.000000;64fbdf37ce5ff.jpeg;2092813;;0;0;1;8142;2023-09-12 09:50:41.000000;NULL;News;1;muhammad.nursamsi@sinarmasland.com;2023-09-04 00:00:00.000000;2023-09-12 09:50:23.000000;8171
2696;"Sinar Mas Land Berikan Stimulus Subsidi DP 20% dalam Program  “Infinite Living” 2024, Lengkapi Insentif PPN DTP Senilai Rp220 Juta ";"BSD City, 22 Februari 2024 – Industri properti diproyeksi akan terus bertumbuh pada tahun 2024. Optimisme  ini ditandai dengan Indeks Harga Properti Residensial (IHPR) triwulan III 2023 yang tumbuh sebesar 1,96% (yoy), lebih tinggi dari pertumbuhan pada triwulan sebelumnya sebesar 1,92% (yoy). Sejumlah strategi hingga insentif juga disiapkan pemerintah untuk menjaga pertumbuhan industri properti, salah satunya adalah penetapan kebijakan insentif berupa Pajak Pertambahan Nilai Ditanggung Pemerintah (PPN DTP) hingga Rp220 juta untuk pembelian rumah baru, baik rumah tapak ataupun apartemen siap huni yang telah diberlakukan sejak November 2023 hingga Desember 2024 mendatang.

Memanfaatkan momentum ini, Sinar Mas Land juga telah menyiapkan sejumlah stimulus tambahan untuk mengajak masyarakat tetap melirik sektor properti di tahun 2024 dengan meluncurkan program national sales bertajuk Infinite Living. Tak hanya subsidi DP hingga 20%, Sinar Mas Land juga memberi kemudahan yakni diskon mencapai 26%, dan bebas Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB). Program yang resmi diluncurkan pada tanggal 22 Februari ini berlaku hingga akhir tahun 2024.  

Herry Hendarta, Deputy Group CEO Strategic Development & Assets Sinar Mas Land mengatakan, “Sinar Mas Land selalu berupaya untuk memberikan kemudahan dan keringanan bagi konsumen untuk memiliki properti impiannya, mulai dari perumahan, komersial, apartemen hingga kaveling hunian. Dengan adanya program Infinite Living, kami berharap konsumen mendapatkan pilihan properti untuk ditinggali, berbisnis, maupun berinvestasi. Melalui program national sales ini, kami menargetkan pendapatan sebesar Rp2,8 triliun dari penjualan ± 1.400 unit properti yang ditawarkan, sehingga akan berkontribusi terhadap  target marketing sales perusahaan tahun 2024.”

Program Infinite Living menawarkan sejumlah promo yang dibagi dalam 3 periode sepanjang tahun 2024. Periode I adalah yang paling banyak promosinya, dimulai tanggal 1 Maret hingga 30 Juni 2024. Dilanjutkan dengan periode II pada 1 Juli – 30 September, dan periode terakhir pada 1 Oktober – 31 Desember 2024. Selain kemudahan pembayaran, konsumen juga berkesempatan mendapat hadiah langsung berupa 1 Unit Myza Flat-House di BSD City (diundi akhir periode I) dan 1 unit apartemen Southgate Altuera di Kawasan TB Simatupang, Jakarta (diundi akhir periode III).

Hermawan Wijaya, Direktur PT Bumi Serpong Damai Tbk (BSDE) menambahkan, “PT Bumi Serpong Damai Tbk (BSDE), salah satu anggota pengembang terkemuka dari Sinar Mas Land, menunjukkan tren kinerja positif pada tahun 2023 lalu. BSDE membukukan angka prapenjualan sepanjang 2023 sebesar Rp9,50 triliun. Pencapaian tersebut melebihi target yang ditetapkan sebelumnya yakni Rp8,80 triliun. Untuk tahun ini, kami juga menargetkan perolehan marketing sales sebesar Rp9,50 triliun. Melihat pertumbuhan ekonomi makro di tahun 2023 dan dukungan insentif pemerintah yang akan berlanjut sampai dengan 31 Desember 2024, kami sangat optimistis di tahun ini dapat mencapai target, salah satunya melalui program Infinite Living.”

Infinite Living menawarkan keringanan harga yang maksimal untuk beberapa produk di antaranya landed residential, ruko, apartemen, hingga kaveling. Program ini juga memberikan promo kemudahan cara bayar seperti Cash Keras dan KPR/KPT/KPA. Dari total jumlah unit yang ditawarkan, 60 persennya akan mendapatkan insentif PPN DTP  hingga sebesar Rp220 juta. Bagi nasabah prioritas dari bank partner, khusus transaksi 1–10 Maret 2024 akan mendapat additional discount sampai dengan 4% dan voucher belanja hingga Rp5 juta. Sedangkan bagi Customer Precious Sinar Mas Land akan mendapatkan tambahan diskon sebesar 1,25% untuk next purchase produk-produk Sinar Mas Land. 

Proyek-proyek milik Sinar Mas Land yang turut dalam program Infinite Living ini tersebar di sejumlah daerah. Di Tangerang Raya terdapat BSD City dan Taman Banjar Wijaya. Di Jakarta Selatan terdapat The Elements dan Southgate, serta Apartemen Aerium di Jakarta Barat. Selain itu, ada Kota Wisata dan Legenda Wisata di Cibubur.  Ada pula Wisata Bukit Mas dan Klaska Residence di Surabaya, Nuvasa Bay di Batam, hingga Grand City Balikpapan di Kalimantan Timur. Produknya  meliputi kaveling, rumah, apartemen, kios, dan ruko.

Kepemilikan produk Sinar Mas Land juga semakin dipermudah dengan kerja sama untuk Kredit Pemilikan Rumah (KPR), Kredit Pemilikan Tanah (KPT), dan Kredit Pemilikan Apartemen (KPA) dari 21 bank tepercaya di Indonesia yakni BCA, Permata Bank, Bank CIMB Niaga, Mandiri, OCBC, Bank Danamon Indonesia, Bank Maybank Indonesia, Bank Sinarmas, Bank Negara Indonesia, Bank BTN, Bank KB Bukopin, BRI, Bank Mestika Dharma, Bank UOB Indonesia, Bank Syariah Indonesia,  Panin Bank, China Construction Bank Indonesia, Bank Woori Saudara, Bank INA Perdana, Bank BCA Syariah, dan Bank Jasa Jakarta.

Informasi lengkap mengenai program Infinite Living dapat diakses melalui situs www.sinarmasland.com/infiniteliving. Konsumen juga dapat melihat informasi lebih lengkap terkait data luas tanah, luas bangunan, denah, fasad bangunan hingga ketersediaan produk dan show unit secara virtual dengan mengunjungi situs https://ecatalog.sinarmasland.com. Selain itu konsumen bisa mengakses official e-store Sinar Mas Land di Tokopedia & Blibli, akun resmi Instagram dan Facebook Sinar Mas Land, serta properti online platform seperti Rumah123.com dan lamudi.co.id.
";10524;1900-01-01 00:00:00.000000;10524;2024-04-04 08:16:29.000000;Foto 7.jpeg.jpg;2780854;;1;0;1;10524;2024-04-04 09:13:55.000000;NULL;News;1;anggun.budinugroho@sinarmasland.com;2024-02-22 00:00:00.000000;2024-04-04 09:13:55.000000;10524
2697;Sinar Mas Land Hadirkan West Village Business Park,  Klaster Komersial Premium Terbaru di BSD City;"BSD City, 23 Februari 2024 – Sinar Mas Land melalui PT Bumi Serpong Damai Tbk (BSDE) selalu berkomitmen untuk terus adaptif, strategis, dan taktis dalam memenuhi kebutuhan pasar properti. Berdasarkan laporan BSDE, segmen komersial membukukan pencapaian yang positif sebesar Rp2,62 triliun di akhir 2023. Angka tersebut merupakan prapenjualan terbesar di tahun lalu atau berkontribusi sebesar 28% terhadap total prapenjualan. Hal tersebut menunjukkan minat konsumen akan ruang usaha terus meningkat. Data penjualan tersebut membuat Sinar Mas Land optimistis untuk kembali meluncurkan produk komersial terbaru yakni West Village Business Park di BSD City.  

West Village Business Park mengusung konsep “Modern Comfortable Facade Design”, dengan menawarkan ruang fleksibel untuk bisnis berbagai ukuran yang setiap unitnya terdiri atas 3 dan 4 lantai. West Village Business Park memiliki beberapa tipe unit yakni standard building, double facade, dan studio loft. West Village Business Park memiliki beragam fasilitas di antaranya multiple access entrance, jalur pedestrian yang aksesibel, sistem keamanan 24 jam, hingga lahan parkir yang luas. Keunggulan lainnya, produk komersial ini juga memiliki tipe double facade building yang dapat diakses dari dua sisi, sehingga memudahkan pelaku usaha untuk memaksimalkan bisnisnya. Klaster komersial tersebut sangat cocok untuk berbagai jenis usaha, seperti office, kafe, restaurant, salon, beauty clinic, boutique, bakery, non-formal education, dan bisnis ritel/komersial lainnya.

CEO Commercial BSD Sinar Mas Land – Anna Budiman mengatakan, “Sinar Mas Land dengan bangga meluncurkan West Village Business Park, yang merupakan sebuah inovasi terbaru di sunrise area property yang lokasinya menjadi penghubung antara BSD City dan Gading Serpong. Produk komersial tersebut menawarkan peluang bisnis dengan konsep yang unik, modern, dan tentu saja nyaman bagi calon pembelinya. Klaster komersial ini menjadi tempat strategis di mana para pengusaha dapat menjalin koneksi serta merasakan atmosfer yang mendukung pertumbuhan bisnis mereka. Kami sangat optimistis penjualan West Village Business Park dapat diserap pasar dengan baik, dengan harga yang kami tawarkan mulai dari Rp2,7 miliaran.”

Berlokasi strategis di BSD City bagian barat, West Village Business Park dilengkapi dengan fasilitas bisnis dan lifestyle center, seperti AEON Mall, The Breeze, QBig, dan GrandLucky Superstore. Selain itu, ada pula pengembangan RANS Nusantara Hebat (Pusat Kuliner UMKM terbesar di BSD City) dan EASTVARA Mall (Lifestyle Commercial Center) yang diproyeksikan segera beroperasi di tahun 2024 ini. West Village juga dekat dengan kawasan perkantoran di antaranya BSD Green Office Park, Foresta Business Loft 1-5, Astra Biz Center,  serta Wisma BCA. Menariknya, pada tahun 2025 mendatang, BSD City Park sebuah farm leisure theme park yang dikembangkan Sinar Mas Land bersama Jatim Park, Cimory Dairyland, dan Taman Rekreasi HeHa juga akan segera hadir.

Dari sisi akses, BSD City memiliki jalur langsung menuju gerbang Tol Serpong-Balaraja Seksi 1A, Tol Jakarta-Merak (Tol Kebon Jeruk), dan Tol Jakarta-Serpong yang terintegrasi dengan Tol Kunciran-Serpong, JORR 2, Tol Bandara Soekarno-Hatta, dan Tol Jagorawi. Mobilitas dari/ke West Village Business Park pun juga didukung dengan beragam pilihan transportasi umum mulai dari free shuttle bus BSD Link, feeder bus BSD City, dan kereta commuter line melalui Stasiun Cisauk di kawasan Intermoda BSD City. 
";10524;1900-01-01 00:00:00.000000;10524;2024-04-04 08:21:06.000000;Foto 1 - Artist Impression West Village Business Park, BSD City.jpg;2780858;;1;0;1;10524;2024-04-04 09:14:10.000000;NULL;News;1;anggun.budinugroho@sinarmasland.com;2024-02-23 00:00:00.000000;2024-04-04 09:14:10.000000;10524
2698;r;g;8171;1900-01-01 00:00:00.000000;8171;2024-04-04 08:22:15.000000;Screen Shot 2024-04-03 at 10.40.16.png;2780859;;0;0;1;8171;2024-04-04 08:22:28.000000;NULL;News;1;muhammad.nursamsi@sinarmasland.com;2024-04-04 00:00:00.000000;2024-04-04 08:22:28.000000;8171
2699;t;c;8171;1900-01-01 00:00:00.000000;8171;2024-04-04 08:24:42.000000;Screen Shot 2024-04-03 at 14.51.48.png;2780862;;0;0;1;8171;2024-04-04 08:24:53.000000;NULL;News;1;muhammad.nursamsi@sinarmasland.com;2024-04-09 00:00:00.000000;2024-04-04 08:24:53.000000;8171
